"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","stimulus","key_press","value","agent","condition","image","responses","question_order","correct_answer"
"","null","html-keyboard-response","89","276594","0.0-89.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","90","279669","0.0-90.0","","null","","Agent A","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1159353.bmppp151_L1V1_freeview_veridical.mp4","","",""
"","null","html-keyboard-response","91","282674","0.0-91.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","92","285770","0.0-92.0","","null","","Agent B","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1159353.bmppp151_L1V1_freeview_scrambled.mp4","","",""
"","","call-function","93","285770","0.0-93.0","","","","","","","","",""
"","2239.800000011921","survey-likert","94","288011","0.0-94.0","","","","","","","{""judgement"":0}","[0]","0"
"","1857.6000000238419","survey-likert","95","289871","0.0-95.0","","","","","","","{""confidence"":2}","[0]",""
"","","call-function","96","289872","0.0-96.0","","","","","","","","",""
"","null","html-keyboard-response","97","292877","0.0-97.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","98","296037","0.0-98.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1159819.bmppp52_L1V1_freeview_scrambled.mp4","","",""
"","null","html-keyboard-response","99","299042","0.0-99.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","100","302181","0.0-100.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1159819.bmppp52_L1V1_freeview_veridical.mp4","","",""
"","","call-function","101","302181","0.0-101.0","","","","","","","","",""
"","3832.5","survey-likert","102","306015","0.0-102.0","","","","","","","{""judgement"":1}","[0]","1"
"","5160.300000011921","survey-likert","103","311177","0.0-103.0","","","","","","","{""confidence"":0}","[0]",""
"","","call-function","104","311177","0.0-104.0","","","","","","","","",""
"","null","html-keyboard-response","105","314182","0.0-105.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","106","317270","0.0-106.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1591909.bmppp89_L1V1_freeview_scrambled.mp4","","",""
"","null","html-keyboard-response","107","320272","0.0-107.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","108","323362","0.0-108.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_1591909.bmppp89_L1V1_freeview_veridical.mp4","","",""
"","","call-function","109","323362","0.0-109.0","","","","","","","","",""
"","3856.4000000059605","survey-likert","110","327219","0.0-110.0","","","","","","","{""judgement"":1}","[0]","1"
"","1577.3999999761581","survey-likert","111","328798","0.0-111.0","","","","","","","{""confidence"":1}","[0]",""
"","","call-function","112","328799","0.0-112.0","","","","","","","","",""
"","null","html-keyboard-response","113","331800","0.0-113.0","<span style=""color:Black; font-size:50px;"">Agent A","null","","","","","","",""
"","null","video-keyboard-response","114","334887","0.0-114.0","","null","","Agent A","scrambled","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_497950.bmppp51_L1V1_freeview_scrambled.mp4","","",""
"","null","html-keyboard-response","115","337889","0.0-115.0","<span style=""color:Black; font-size:50px;"">Agent B","null","","","","","","",""
"","null","video-keyboard-response","116","340974","0.0-116.0","","null","","Agent B","veridical","/Users/kirstenziman/Desktop/Desktop/DIDEC_entire_corpus/analysis_3/STIM_SET_1/0_497950.bmppp51_L1V1_freeview_veridical.mp4","","",""
"","","call-function","117","340974","0.0-117.0","","","","","","","","",""
"","1718.4000000059605","survey-likert","118","342693","0.0-118.0","","","","","","","{""judgement"":1}","[0]","1"
"","2149.5","survey-likert","119","344843","0.0-119.0","","","","","","","{""confidence"":3}","[0]",""
"","","call-function","120","344844","0.0-120.0","","","","","","","","",""
