,rt,responses,question_order,trial_type,trial_index,time_elapsed,internal_node_id,ID,view_history,key_press,stimulus,agent,condition,image,correct_answer,proportion_correct
384,,,,call-function,384,1082080,0.0-384.0,g7w9ueww,,,,,,,,
385,6254.310000000060,"{""judgement"":1}",[0],survey-likert,385,1088336,0.0-385.0,g7w9ueww,,,,,,,1.0,1
386,1370.7250000000900,"{""confidence"":2}",[0],survey-likert,386,1089708,0.0-386.0,g7w9ueww,,,,,,,,
387,,,,call-function,387,1089710,0.0-387.0,g7w9ueww,,,,,,,,
388,Nothing,,,html-keyboard-response,388,1091216,0.0-388.0,g7w9ueww,,Nothing,['Agent A'],,,,,
389,Nothing,,,video-keyboard-response,389,1094286,0.0-389.0,g7w9ueww,,Nothing,,Agent A,veridical,STIM_SET_2/713652.bmp_pp89_L1_V1_veridical_freeview_isoTrue.mp4,,
390,Nothing,,,html-keyboard-response,390,1095790,0.0-390.0,g7w9ueww,,Nothing,['Agent B'],,,,,
391,Nothing,,,video-keyboard-response,391,1098860,0.0-391.0,g7w9ueww,,Nothing,,Agent B,scrambled,STIM_SET_2/713652.bmp_pp89_L1_V1_scrambled_freeview_isoTrue.mp4,,
392,,,,call-function,392,1098861,0.0-392.0,g7w9ueww,,,,,,,,
393,2801.255000000120,"{""judgement"":1}",[0],survey-likert,393,1101663,0.0-393.0,g7w9ueww,,,,,,,0.0,0
394,1686.6100000001000,"{""confidence"":2}",[0],survey-likert,394,1103351,0.0-394.0,g7w9ueww,,,,,,,,
395,,,,call-function,395,1103351,0.0-395.0,g7w9ueww,,,,,,,,
396,Nothing,,,html-keyboard-response,396,1104853,0.0-396.0,g7w9ueww,,Nothing,['Agent A'],,,,,
397,Nothing,,,video-keyboard-response,397,1107934,0.0-397.0,g7w9ueww,,Nothing,,Agent A,scrambled,STIM_SET_2/107909.bmp_pp95_L2_V1.0_scrambled_freeview_isoTrue.mp4,,
398,Nothing,,,html-keyboard-response,398,1109437,0.0-398.0,g7w9ueww,,Nothing,['Agent B'],,,,,
399,Nothing,,,video-keyboard-response,399,1112517,0.0-399.0,g7w9ueww,,Nothing,,Agent B,veridical,STIM_SET_2/107909.bmp_pp95_L2_V1.0_veridical_freeview_isoTrue.mp4,,
400,,,,call-function,400,1112518,0.0-400.0,g7w9ueww,,,,,,,,
